,station_name,station_id,station_longitude,station_latitude,station_altitude,date,temperature_max,temperature_min,temperature_mean,precipitation
2008274,KAVIR,18873.0,52.0333,35.1667,792.0,2019-11-13 00:00:00,,,,
2008276,KAVIR SIYAHKOOH (CHAH AFZAL),19302.0,53.85,32.5167,1036.0,2000-01-01 00:00:00,17.0,2.0,9.5,
2013874,KAZERUN,40861.0,51.65138889,29.60027778,840.0,2006-02-01 00:00:00,16.8,1.2,10.5,0.0
2019880,KELARDASHT,18410.0,51.157,36.55,1200.0,2022-02-27 00:00:00,11.8,2.1,6.95,
2020016,KEREND GHARB,19018.0,46.23,34.28,1530.0,2008-05-01 00:00:00,21.0,6.0,13.5,
2024746,KERMAN,40841.0,56.9619,30.2556,1754.0,2000-01-01 00:00:00,15.4,-8.2,2.5,0.0
2032975,KERMANSHAH,18994.0,47.12,34.35,1328.0,2007-02-01 00:00:00,7.0,0.0,3.5,
2037935,KERMANSHAH,40766.0,47.15333333,34.35222222,1318.5,2000-01-01 00:00:00,20.2,-2.9,6.7,0.0
2046164,KESHT SANAT EMAM KHOMEYNI,19432.0,48.77,31.8,29.0,2004-01-01 00:00:00,14.0,5.8,9.9,
2050599,KHABAR,19830.0,56.33,28.82,1180.0,2022-06-23 00:00:00,,,,
2050619,KHAF,40837.0,60.15,34.58333333,998.0,2006-03-01 00:00:00,21.8,9.2,18.8,0.0
2056595,KHAFR,99612.0,53.0794,29.0,1332.0,2006-02-14 00:00:00,31.6,16.7,23.4,0.0
2057904,KHALAT POUSHAN,18079.0,46.45,38.05,1567.0,2000-01-01 00:00:00,11.2,-4.0,3.6,
2062670,KHALKHAL,40717.0,48.53805556,37.60888889,1797.4,2000-01-01 00:00:00,14.0,-6.6,4.2,0.0
2070899,KHANSAR,99482.0,50.31666667,33.23333333,2300.0,2005-02-02 00:00:00,4.2,,4.0,
2077269,KHARAMEH,19739.0,53.297778,29.502222,1051.0,2020-11-18 00:00:00,17.7,13.9,15.8,
2077871,KHARK ISLAND,40845.0,50.31527778,29.26555556,4.3,2007-01-01 00:00:00,12.2,10.0,11.0,0.0
2083543,KHASH,40870.0,61.185,28.22694444,1427.0,2000-01-01 00:00:00,18.8,1.0,12.6,0.0
2091772,KHEIRABAD,99334.0,48.75944444,36.53083333,1767.0,2006-01-01 00:00:00,3.8,-12.4,-3.0,0.0
2096438,KHEIRABAD-ZANJAN,18417.0,48.78,36.52,1760.0,2000-01-01 00:00:00,15.6,-8.6,3.5,
2099586,KHESHT,19726.0,51.33,29.56,493.0,2019-12-04 00:00:00,20.6,,13.5,
2100504,KHEZRABAD,19426.0,53.96,31.88,1637.0,2000-01-01 00:00:00,14.0,4.0,9.0,
2108315,KHIRKHAJEHSOFLA,18116.0,54.88,37.73,55.0,2008-05-06 00:00:00,31.0,14.2,22.6,
2112945,KHODAAFARIN (TATAR),18026.0,46.83,39.02,400.0,2000-07-01 00:00:00,39.4,15.0,27.2,
2120771,KHODABANDEH,40733.0,48.58916667,36.14388889,1887.0,2000-01-01 00:00:00,12.4,-1.4,5.9,0.0
2129000,KHOJA,18068.0,46.5831,38.1494,1615.0,2013-10-01 00:00:00,26.4,3.0,14.7,
2129212,KHOMEYN,99443.0,50.06916667,33.62388889,1834.6,2001-01-01 00:00:00,12.0,1.6,8.1,0.0
2137075,KHOMEYNI SHAHR BASHAGERD,19978.0,58.3833,26.6167,95.0,2000-01-01 00:00:00,22.5,8.5,15.5,
2141115,KHONDAB,18988.0,49.2,34.4,1742.0,2000-02-01 00:00:00,1.2,-14.2,-6.5,
2143449,KHONDAB,99439.0,49.18388889,34.41111111,1739.0,2006-11-01 00:00:00,15.2,8.8,12.5,1.0
2149607,KHONJ,99638.0,53.4189,27.8731,674.0,2016-09-24 00:00:00,40.4,22.6,34.9,0.0
2151675,KHONSAR,19193.0,50.3167,33.2333,2300.0,2000-01-01 00:00:00,15.5,-1.0,7.25,
2153867,KHORAMABAD,18172.0,45.08,37.43,1410.0,2006-01-01 00:00:00,4.6,-5.6,-0.5,
2159580,KHORAMABAD-TONKABON,18344.0,50.9,36.75,50.0,2000-01-01 00:00:00,15.5,3.5,9.5,
2160641,KHORAMABAD-TONKABON,18524.0,50.9,36.233,2263.0,2005-04-01 00:00:00,9.5,5.0,7.25,
2161614,KHORMOOJ,19851.0,51.3833,28.65,71.0,2000-01-01 00:00:00,27.0,11.6,19.3,
2164231,KHORRAMABAD,40782.0,48.28361111,33.43888889,1147.8,2000-01-01 00:00:00,19.0,-2.0,7.0,0.0
2172460,KHORRAMDAREH,40730.0,49.21083333,36.19583333,1575.0,2000-01-01 00:00:00,14.4,-2.4,6.9,0.0
2180689,KHOSBIJAN,19037.0,49.37,34.12,1830.0,2000-01-01 00:00:00,16.0,-3.0,6.5,
2188440,KHOSF,19261.0,58.88,32.73,1321.0,2000-01-01 00:00:00,15.0,2.0,8.5,
2190491,KHOSHKEHDARAN,18331.0,50.86666667,36.8,2.0,2000-01-01 00:00:00,14.5,9.0,11.75,
2196514,KHOSHKROOD,18806.0,50.3331,35.3831,1400.0,2001-01-01 00:00:00,12.3,-3.0,4.65,
2200980,KHOSROSHAH,99244.0,46.0331,37.9667,1338.0,2016-07-02 00:00:00,32.6,21.0,26.3,0.0
2202562,KHOSROWSHAHR-TABRIZ,18094.0,46.0333,37.9667,1357.0,2000-07-10 00:00:00,35.0,,,
2206599,KHOY,40703.0,44.99527778,38.55805556,1103.4,2000-01-01 00:00:00,14.2,-4.0,3.9,0.0
2214828,KHOY (AIRPORT),88104.0,44.97194444,38.42333333,1198.7,2015-03-14 00:00:00,17.9,,11.9,0.0
2217315,KHURBIRJAND,99437.0,58.45,32.9167,1117.4,2000-01-01 00:00:00,20.5,2.0,10.4,0.0
2222496,KHUR-VA-BIABANAK,40789.0,55.08166667,33.77,842.2,2000-01-01 00:00:00,19.4,1.0,10.1,0.0
2230725,KISH ISLAND,40882.0,53.98222222,26.52222222,30.0,2000-01-01 00:00:00,26.8,18.2,21.4,0.0
2238954,KIVEHNAN,18910.0,47.18,34.82,1970.0,2012-01-01 00:00:00,4.4,0.8,2.6,
2241227,KIYASAR,40760.0,53.54638889,36.24888889,1294.0,2002-01-01 00:00:00,18.0,10.2,14.8,0.0
2248725,KIYASHAHR,99268.0,49.88333333,37.41666667,-22.0,2006-06-01 00:00:00,27.0,17.0,23.4,0.0
2254611,KOHBANAN,19504.0,56.27,31.42,2015.0,2004-01-01 00:00:00,7.2,,,
2257821,KOJUR,99348.0,51.73333333,36.38333333,1550.0,2006-03-01 00:00:00,18.4,1.8,12.4,0.0
2263799,KOMIJAN,99432.0,49.31444444,34.70972222,1741.0,2005-01-01 00:00:00,8.0,-4.0,2.7,0.0
2270109,KONARAK (AIRPORT),40897.0,60.3742,25.4364,12.0,2000-01-01 00:00:00,29.0,10.0,22.0,0.0
2275585,KOOZARAN,18968.0,46.6,34.33,1380.0,2009-02-01 00:00:00,7.6,-0.8,3.4,
2279687,KORDKOUY,18301.0,54.57,36.9,2.0,2017-01-01 00:00:00,11.9,4.2,8.05,
2281639,KOUHAN,18396.0,55.88,36.6,1004.0,2000-01-01 00:00:00,12.4,-3.4,4.5,
2288667,KOUHSEFID,99426.0,51.1825,34.7825,853.0,2016-10-27 00:00:00,25.5,,18.8,0.0
2290747,KOUH SORKH,99315.0,58.47,35.48,1724.0,2006-02-25 00:00:00,25.7,,21.8,
2292417,KOUSEH,18120.0,57.95,37.71,1645.0,2017-01-01 00:00:00,13.1,-2.1,5.5,
2294207,KUHBANAN,99532.0,56.26666667,31.41666667,2015.0,2022-06-23 00:00:00,,,,
2294227,KUHDASHT,99438.0,47.64777778,33.52444444,1197.8,2000-01-01 00:00:00,20.6,-2.6,9.6,0.0
2302456,KUHIN,99365.0,49.6442,36.3714,1549.0,2009-01-01 00:00:00,2.9,-4.2,-0.3,2.3
2307397,KUHRANG,40797.0,50.125,32.45694444,2365.0,2000-01-01 00:00:00,10.4,-6.0,1.3,0.0
2315626,KUSHK-E-NOSRAT,99414.0,50.8989,35.0908,948.0,2006-10-01 00:00:00,33.4,19.6,28.2,0.0
2320509,KUSHK-E-NOSRAT-AIRPORT,99413.0,50.7997,34.9667,922.0,2011-01-01 00:00:00,15.0,0.0,9.8,0.0
2321605,LAHIJAN,18244.0,50.0,37.1833,-2.0,2000-01-01 00:00:00,14.6,4.4,9.5,
2323158,LAHIJAN,99276.0,50.01611111,37.19444444,34.2,2004-04-01 00:00:00,10.8,6.0,8.5,
2330747,LALEHZAR,40852.0,56.83333333,29.51666667,2775.0,2003-01-01 00:00:00,-2.0,-7.0,-4.6,0.0
2337880,LALEZARE BARDSIR,19731.0,56.8333,29.5167,2775.0,2000-01-01 00:00:00,10.0,-5.6,2.2,
2339125,LALI,99508.0,49.09972222,32.33611111,365.0,2007-01-01 00:00:00,12.8,1.4,7.9,0.0
2344797,LAMERD,88190.0,53.18888889,27.37305556,411.0,2000-01-01 00:00:00,26.4,3.6,16.6,0.0
2352965,LANGROD,18245.0,50.15,37.18,-22.0,2020-10-30 00:00:00,24.2,19.0,21.6,
2353408,LAR,40873.0,54.37416667,27.67138889,792.0,2000-01-01 00:00:00,22.8,0.6,14.0,0.0
2361637,LAVAN ISLAND,40881.0,53.34833333,26.80916667,22.2,2004-01-01 00:00:00,23.4,16.4,21.1,0.0
2368405,LAVASAN,99366.0,51.6419,35.8317,1863.0,2013-05-19 00:00:00,,,18.8,
2371697,LAYHENA-NEYRIZ,19764.0,54.25,29.2,1597.0,2000-01-01 00:00:00,15.0,-4.0,5.5,
2375987,LIKAK,99552.0,50.1056,30.9556,760.0,2011-03-01 00:00:00,21.4,11.0,17.2,0.0
2379199,LORDEGAN,40814.0,50.83333333,31.50305556,1611.0,2000-01-01 00:00:00,18.2,-1.0,8.8,0.0
2387428,LOSHAN,18367.0,49.52,36.62,550.0,2022-06-23 00:00:00,,,,
2387448,LOUMAR,99463.0,46.82888889,33.56027778,850.0,2007-07-01 00:00:00,43.6,25.0,37.1,0.0
2392939,MADAN PARVARDA,19065.0,56.83,32.98,855.0,2000-01-01 00:00:00,19.0,0.0,9.5,
2399803,MADAN PARVARDEH,19236.0,56.8,33.2667,618.0,2000-01-01 00:00:00,19.0,0.0,9.5,
2402632,MAGSAL,18556.0,50.17,36.15,1364.0,2001-01-01 00:00:00,14.0,-0.4,6.8,
